id,name,category,subCategory,price,description,images,specs,detailedTechSpecs,datasheet
"prod_1766146524187,""SUN-1/1.5/2/2.2/2.5/2.7/3/3.3/3.6/4K-G04P1-EU-AM1"",""inverter"",""Однофазні інвертори струн"",19999,""Deye SUN-(1-4)K-G04P1-EU-AM1 — однофазний струнний інвертор для житлових і комерційних СЕС; макс. ефективність 97,5%; 1 MPPT; старт від 80 В; нульовий експорт; VSG; опц. моніторинг рядків і анти-PID; захист IP65; інтерфейси GPRS/WiFi/Bluetooth/4G/LAN/RS485"",""https://i.ibb.co/QF0DxT4m/inver1.png"",""Топологія: Неізольована, Розмір: 280×310×184 мм, Вага: 6.35 кг, Охолодження: Природне, Гарантія: 5 років"",""Макс. вхід PV (кВт): 1.3-5.2; Макс. напруга PV: 550 В; MPPT: 70-500 В; Номін. потужність AC (кВт): 1-4; Макс. ефективність: 97.5%; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-1-4k-g04p1-eu-am1.pdf"""
"prod_1766147884714,""SUN-3.6/4/4.2/4.6/5.2/6/6.2K-G04"",""inverter"",""Однофазні інвертори струн"",13000,""Deye SUN-(3.6-6.2)K-G04 — однофазний струнний інвертор; макс. ефективність 97,5%; 2 MPPT; старт від 80 В; нульовий експорт; VSG; опц. моніторинг і анти-PID; захист IP65"",""https://i.ibb.co/CT8jX3z/inver2.png"",""Топологія: Неізольована, Розмір: 330×323×190 мм, Вага: 8 кг, Охолодження: Природне, Гарантія: 5 років"",""Макс. вхід PV (кВт): 4.7-8.06; Макс. напруга PV: 550 В; MPPT: 70-500 В; Номін. потужність AC (кВт): 3.6-6.2; Струм MPPT: 13+13 А; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-3.6-6k-g04.pdf"""
"prod_1766148557774,""SUN-3.6/4/4.2/4.6/5/5.2/6/6.2K-G05P1-EU-AM2"",""inverter"",""Однофазні інвертори струн"",14000,""Deye SUN-(3.6-6.2)K-G05P1-EU-AM2 — однофазний струнний інвертор; макс. ефективність 97,5%; 2 MPPT; старт від 80 В; нульовий експорт; VSG; опц. моніторинг і анти-PID; IP65"",""https://i.ibb.co/v6nXJmcb/inver3.png"",""Топологія: Неізольована, Розмір: 305×280×180 мм, Вага: 7.7 кг, Охолодження: Природне, Гарантія: 5 років"",""Макс. вхід PV (кВт): 4.7-8.1; Макс. напруга PV: 550 В; MPPT: 70-500 В; Номін. потужність AC (кВт): 3.6-6.2; Струм MPPT: 18+18 А; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-3.6-6.2k-g05p1-eu-am2.pdf"""
"prod_1766149665396,""SUN-7/7.5/8K-G02P1-EU-AM2"",""inverter"",""Однофазні інвертори струн"",10000,""Deye SUN-(7-8)K-G02P1-EU-AM2 — потужний однофазний інвертор; макс. ефективність 97,7%; 2 MPPT; старт від 80 В; нульовий експорт; VSG; опц. моніторинг і анти-PID; IP65"",""https://i.ibb.co/bR7j66b1/inver4.png"",""Топологія: Неізольована, Розмір: 330×310×208.5 мм, Вага: 12.1 кг, Охолодження: Природне, Гарантія: 5 років"",""Макс. вхід PV (кВт): 9.1-10.4; Макс. напруга PV: 550 В; MPPT: 70-500 В; Номін. потужність AC (кВт): 7-8; Струм MPPT: 18+26 А; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-7-8k-g02p1-eu-am2.pdf"""
"prod_1766150193861,""SUN-9/10/10.5K-G02P1-EU-AM2"",""inverter"",""Однофазні інвертори струн"",17999,""Deye SUN-(9-10.5)K-G02P1-EU-AM2 — високопотужний однофазний інвертор; макс. ефективність 97,7%; 2 MPPT; старт від 80 В; нульовий експорт; VSG; опц. моніторинг і анти-PID; IP65"",""https://i.ibb.co/bgmVs0jm/inver5.png"",""Топологія: Неізольована, Розмір: 330×410×213.5 мм, Вага: 14.8 кг, Охолодження: Природне, Гарантія: 5 років"",""Макс. вхід PV (кВт): 11.7-13.7; Макс. напруга PV: 550 В; MPPT: 70-500 В; Номін. потужність AC (кВт): 9-10.5; Струм MPPT: 26+26 А; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-9-10.5k-g02p1-eu-am2.pdf"""
"prod_1766150808336,""SUN-120/125/130/135/136K-G01P3-EU-AM8"",""inverter"",""Трифазні інвертори струн"",11000,""Deye SUN-(120-136)K-G01P3-EU-AM8 — трифазний інвертор для комерційних і промислових СЕС; макс. ефективність 98,8%; 8 MPPT; нульовий експорт; VSG; опц. анти-PID; IP65"",""https://i.ibb.co/6c1twsks/inver6.png"",""Розмір: 1006×516×325.5 мм, Вага: 103 кг, Охолодження: Інтелектуальне повітряне, Гарантія: 5 років"",""Макс. вхід PV: до 204 кВт; Макс. напруга PV: 1100 В; Номін. потужність AC: 120-136 кВт; 8 MPPT; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-120-136k-g01p3-eu-am8.pdf"""
"prod_1766152304262,""SUN-15K-G05"",""inverter"",""Трифазні інвертори струн"",23000,""Deye SUN-15K-G05 — трифазний інвертор; макс. ефективність 98,5%; 2 MPPT; старт від 250 В; опц. анти-PID; нульовий експорт; VSG; IP65"",""https://i.ibb.co/jZW8XjDf/inver7.png"",""Розмір: 332×472×203 мм, Вага: 15 кг, Охолодження: Інтелектуальне повітряне, Шум: <40 дБ, Гарантія: 5 років"",""Макс. вхід PV: 19.5 кВт; Макс. напруга PV: 1000 В; Номін. потужність AC: 15 кВт; MPPT: 200-850 В; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-15k-g05-p.pdf"""
"prod_1766152832448,""SUN-18/20/22/23/25K-G05"",""inverter"",""Трифазні інвертори струн"",9999,""Deye SUN-(18-25)K-G05 — трифазні струнні інвертори; макс. ефективність 98,6%; 2 MPPT; нульовий експорт; VSG; опц. анти-PID; IP65"",""https://i.ibb.co/S4KB0XWN/inver8.png"",""Розмір: 362×527×220 мм, Вага: 20 кг, Охолодження: Інтелектуальне повітряне, Шум: <50 дБ, Гарантія: 5 років"",""Макс. вхід PV: залежно від моделі; Номін. потужність AC: 18-25 кВт; MPPT: 200-1000 В; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-18-25k-g05.pdf"""
"prod_1766153352359,""SUN-3/4/5/6/7/8/9/10/12/15K-G06P3-EU-BM2"",""inverter"",""Трифазні інвертори струн"",58760,""Deye SUN-(3-15)K-G06P3-EU-BM2 — трифазний струнний інвертор; макс. ефективність 98,5%; 2 MPPT; нульовий експорт; VSG; опц. моніторинг і анти-PID; IP65"",""https://i.ibb.co/mCwp7dQs/inver9.png"",""Розмір: 283×525×178-188 мм, Вага: 11.5-12 кг, Охолодження: Природне, Гарантія: 5 років"",""Макс. вхід PV: 4.5-22.5 кВт; Макс. напруга PV: 1100 В; MPPT: 120-1000 В; Номін. потужність AC: 3-15 кВт; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-3-15k-g06p3-eu-bm2.pdf"""
"prod_1766153931807,""SUN-3/4/5/6/7/8/9/10/12/15K-G06P3-EU-BM2-P1"",""inverter"",""Трифазні інвертори струн"",19999,""Deye SUN-(3-15)K-G06P3-EU-BM2-P1 — трифазний струнний інвертор; макс. ефективність 98,5%; 2 MPPT; нульовий експорт; VSG; опц. моніторинг і анти-PID; IP65"",""https://i.ibb.co/dd3Yxbm/inver10.png"",""Розмір: 283×525×178-188 мм, Вага: 11.5-12 кг, Охолодження: Природне, Гарантія: 5 років"",""Макс. вхід PV: 4.5-22.5 кВт; Макс. напруга PV: 1100 В; MPPT: 120-1000 В; Номін. потужність AC: 3-15 кВт; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-3-15k-g06p3-eu-bm2-p1.pdf"""
"prod_1766154843655,""SUN-30/33/35/36K-G04"",""inverter"",""Трифазні інвертори струн"",23999,""Deye SUN-(30-36)K-G04 — трифазний інвертор; макс. ефективність 98,6%; широкий MPPT 200-850 В; нульовий експорт; VSG; IP65"",""https://i.ibb.co/bMKPDW6F/inver11.png"",""Розмір: 362×577×215 мм, Вага: 23 кг, Охолодження: Інтелектуальне повітряне, Гарантія: 5 років"",""Макс. вхід PV: 39-46.8 кВт; Номін. потужність AC: 30-36 кВт; Струм MPPT: 40+40 А; IP65"",""https://deye.com/wp-content/uploads/2025/10/sun-30-36k-g04.pdf"""
